acct_id,visit_num,visit_dt,clip_views,view_time_sec,total_clip_length_sec,total_course_lngth_sec,courses_viewed,b2b_visit_indicator,page_views,searches
"1,678",22,6/10/17,3,196,313,"37,526",1,0,1,0
"1,678",23,10/10/17,1,183,183,"2,446",1,0,1,0
"1,678",24,11/10/17,11,372,1687,"62,965",4,0,4,4
"1,678",25,19/10/17,1,232,397,"10,922",1,0,2,0
"1,678",26,20/10/17,23,"6,304","6,304","73,968",1,0,2,0
"1,678",27,1/11/17,5,135,394,"12,741",2,0,3,0
"1,678",28,5/11/17,23,"4,473","5,175","128,839",2,0,6,0
"1,678",29,6/11/17,9,"4,177","4,535","51,845",1,0,1,0
"1,678",30,7/11/17,35,"3,369","15,104","267,902",3,0,6,2
"1,678",31,16/11/17,27,"5,908","7,139","412,907",2,0,5,0
"1,678",32,17/11/17,28,"4,008","5,629","442,888",1,0,2,0
"1,678",33,18/11/17,1,133,133,"15,272",1,0,7,0
"1,678",34,21/11/17,23,"3,291","3,723","175,252",2,0,7,1
"1,678",35,22/11/17,15,"2,571","5,930","156,408",2,0,7,1
"1,678",36,25/11/17,11,456,"6,301","62,214",1,0,2,0
"1,678",37,29/11/17,5,627,1807,"40,941",1,0,2,0
"1,678",38,1/12/17,27,"4,051","5,565","216,733",2,0,5,0
"1,678",39,15/12/17,5,416,508,"46,866",1,0,5,0
"1,678",40,17/1/18,1,757,757,"25,487",1,0,6,0
"1,678",41,6/2/18,16,1591,1896,"50,384",1,0,2,0
"1,678",42,14/3/18,12,"2,361","2,646","152,922",1,0,1,0
"1,678",43,15/3/18,16,"4,457","5,320","203,896",1,0,4,0
"1,678",44,17/3/18,1,296,296,"15,272",1,0,1,0
"1,678",45,31/3/18,25,"3,423","4,873","198,536",1,0,1,0
"1,678",46,18/4/18,46,"7,348","9,171","141,409",6,0,17,2
"1,678",47,24/4/18,13,1859,"3,186","99,778",1,0,1,0
"1,678",48,25/4/18,37,"5,806","8,321","459,792",2,0,5,0
"1,678",49,26/4/18,5,1882,"2,699","42,762",1,0,4,0
"1,678",50,28/4/18,20,"2,990","2,990","152,720",1,0,7,0
"1,614",1,7/8/17,36,"2,157","2,868","139,992",1,0,3,7
"1,614",2,11/9/17,5,863,1001,"11,157",1,0,2,4
"1,614",3,14/3/18,7,1005,1211,"36,684",1,0,5,3
"1,614",4,23/4/18,7,390,390,"27,510",2,0,8,5
"1,457",1,28/8/17,15,"3,732","3,760","98,430",1,1,1,8
"1,457",2,29/8/17,28,"4,523","4,766","166,836",2,1,6,5
"1,388",1,31/7/17,1,166,166,"8,521",1,0,2,7
"1,580",1,13/11/17,4,234,236,"77,220",1,1,5,7
"1,580",2,14/11/17,6,1050,1050,"96,525",1,1,6,6
"1,580",3,4/12/17,2,267,267,"19,305",1,1,1,6
"1,580",4,5/12/17,12,"4,145","4,155","96,525",1,1,1,1
"1,299",1,25/8/17,46,"4,543","5,818","157,449",1,0,2,8
"1,299",2,11/9/17,5,438,558,"48,903",1,0,5,7
"1,299",3,12/9/17,82,"9,238","12,665","717,244",1,0,6,2
"1,299",4,13/9/17,50,"7,665","9,534","440,127",1,0,4,4
"1,299",5,15/9/17,15,"4,629","4,752","81,505",1,0,1,0
"1,299",6,1/1/18,3,264,264,"31,802",1,0,1,2
"1,299",7,4/1/18,10,"2,241","2,839","90,190",2,0,5,2
"1,299",8,5/1/18,1,250,250,"12,928",1,0,3,0
"1,299",9,9/1/18,36,"4,420","7,787","472,698",2,0,12,8
"1,299",10,12/1/18,16,"2,117","2,183","69,678",1,0,1,1
"1,299",11,19/1/18,33,"6,114","6,158","285,400",3,0,11,4
"1,299",12,20/1/18,11,"2,949","2,949","46,596",1,0,1,1
"1,299",13,23/1/18,37,"3,845","6,454","139,940",1,0,5,2
"1,299",14,1/3/18,4,1428,1428,"21,393",1,0,5,1
"1,299",15,3/3/18,15,"3,772","4,051","83,088",1,0,1,1
"1,299",16,4/3/18,30,"9,544","11,352","166,176",1,0,1,0
"1,299",17,5/3/18,35,"10,647","12,557","370,945",4,0,5,4
"1,299",18,6/3/18,27,"6,221","7,292","199,680",1,0,2,0
"1,299",19,7/3/18,42,"8,263","9,419","306,176",1,0,3,0
"1,299",20,8/3/18,59,"9,792","11,199","796,782",2,0,6,2
"1,299",21,9/3/18,46,"10,734","11,877","338,535",2,0,11,0
"1,299",22,10/3/18,30,"8,024","9,227","568,232",2,0,7,2
"1,299",23,11/3/18,39,"9,928","11,712","439,824",1,0,1,0
"1,299",24,12/3/18,39,"7,598","8,901","671,216",2,0,5,0
"1,299",25,13/3/18,1,343,343,"14,000",1,0,2,0
"1,299",26,19/3/18,27,"3,694","4,286","370,496",1,0,5,0
"1,299",27,20/3/18,47,"5,465","7,509","330,800",1,0,2,0
"1,299",28,21/3/18,1,296,296,"13,232",1,0,2,0
"1,299",29,22/3/18,29,"5,685","6,570","418,118",3,0,4,2
"1,299",30,23/3/18,28,"5,947","7,761","93,375",1,0,5,0
"1,299",31,24/3/18,3,697,720,"12,450",1,0,1,0
"1,299",32,25/3/18,40,"6,530","7,022","150,035",2,0,10,2
"1,299",33,26/3/18,48,"10,544","13,157","642,925",2,0,5,0
"1,299",34,27/3/18,1,338,338,"26,727",1,0,2,0
"1,299",35,30/3/18,28,"5,008","6,229","288,513",2,0,2,0
"1,299",36,31/3/18,38,"4,518","5,257","729,261",1,0,2,0
"1,299",37,1/4/18,31,"4,320","4,605","299,184",1,0,1,0
"1,299",38,12/4/18,1,342,342,"26,727",1,0,1,0
"1,299",39,15/4/18,1,482,482,"18,699",1,0,2,0
"1,299",40,16/4/18,48,"4,910","6,324","924,279",2,0,14,2
"1,299",41,20/4/18,17,1664,"2,502","215,427",2,0,10,1
"1,299",42,21/4/18,28,"4,486","4,914","770,095",1,0,5,0
"1,299",43,22/4/18,1,298,298,"26,555",1,0,4,0
"1,299",44,26/4/18,37,"5,281","9,321","504,545",1,0,5,0
"1,299",45,29/4/18,1,232,232,"26,555",1,0,6,0
"2,080",1,20/11/17,3,605,605,"36,201",1,1,8,8
"2,080",2,8/3/18,6,"1,555","1,555","150,285",1,1,1,6
"1,389",1,2/7/17,3,664,1329,"16,046",1,0,2,8
"1,389",2,3/7/17,37,"12,465","13,462","274,164",2,0,7,7
"1,389",3,4/7/17,56,"13,965","14,936","510,947",2,0,7,4
"1,389",4,5/7/17,48,"17,958","18,228","109,144",2,0,7,4
"1,389",5,7/7/17,30,"4,810","6,162","192,760",1,0,4,0
"1,389",6,10/7/17,30,"5,644","5,862","586,898",2,0,6,0
"1,389",7,11/7/17,25,"4,526","4,994","418,272",4,0,3,3
"1,389",8,12/7/17,36,"4,716","4,717","229,920",1,0,7,5
"1,389",9,13/7/17,31,"5,581","5,806","201,180",1,0,4,0
"1,389",10,14/7/17,11,"2,194","2,195","57,480",1,0,3,1
"1,389",11,17/7/17,26,"5,160","5,626","383,430",3,0,10,4
"1,389",12,18/7/17,45,"11,589","12,409","320,296",2,0,10,2
"1,389",13,19/7/17,31,"5,453","6,001","180,710",1,0,2,1
"1,389",14,20/7/17,31,"5,312","5,312","180,710",1,0,2,1
"1,389",15,21/7/17,30,"5,022","5,190","275,504",1,0,1,1
"1,389",16,22/7/17,7,1007,1007,"115,248",1,0,4,0
"1,389",17,24/7/17,27,"4,458","4,893","603,688",2,0,4,0
"1,389",18,25/7/17,35,"8,536","8,542","327,161",1,0,2,0
"1,389",19,27/7/17,26,"5,089","5,089","241,066",1,0,1,0
"1,389",20,31/7/17,38,"7,064","7,453","846,624",3,0,7,4
"1,389",21,1/8/17,49,"9,743","10,881","677,108",3,0,4,4
"1,389",22,2/8/17,43,"8,172","8,300","827,241",1,0,3,0
"1,389",23,3/8/17,42,"8,732","8,732","791,274",1,0,6,0
"1,389",24,8/8/17,35,"9,006","9,816","683,373",1,0,1,0
"1,389",25,9/8/17,8,"3,226","3,226","179,835",1,0,5,0
"1,389",26,10/8/17,12,"3,602","5,573","251,769",1,0,3,0
"1,389",27,11/8/17,38,"6,557","9,129","719,340",1,0,5,0
"1,389",28,12/8/17,19,"7,307","7,307","288,120",1,0,4,1
"1,389",29,17/8/17,38,"9,234","9,258","719,340",1,0,5,0
"1,389",30,22/8/17,32,"7,941","8,782","611,439",1,0,2,0
"1,389",31,26/8/17,7,"2,107","2,107","115,248",1,0,2,0
"1,389",32,4/9/17,28,"9,725","10,305","539,505",1,0,2,0
"1,389",33,5/9/17,24,"9,156","9,593","467,571",1,0,1,0
"1,389",34,6/9/17,19,"5,568","5,588","359,670",1,0,3,0
"1,389",35,7/9/17,23,"5,163","5,454","369,432",2,0,7,2
"1,389",36,8/9/17,17,"2,348","3,014","45,227",2,0,9,1
"1,389",37,11/9/17,29,"6,693","6,800","73,215",1,0,2,0
"1,389",38,12/9/17,31,"4,891","5,349","104,850",2,0,8,0
"1,389",39,13/9/17,27,"5,228","6,181","121,842",1,0,1,0
"1,389",40,18/9/17,44,"7,688","7,756","191,466",1,0,5,0
"1,389",41,19/9/17,29,"6,560","6,560","130,545",1,0,4,0
"1,389",42,21/9/17,24,"4,695","4,909","148,908",1,0,7,0
"1,389",43,25/9/17,8,"2,495","2,495","49,636",1,0,2,0
"1,389",44,26/9/17,16,"4,641","4,641","99,272",1,0,3,0
"1,389",45,27/9/17,25,"3,690","3,721","203,827",1,0,2,0
"1,389",46,28/9/17,44,"7,467","7,617","344,938",1,0,5,0
"1,389",47,2/10/17,42,"5,046","5,620","329,259",1,0,4,1
"1,389",48,3/10/17,30,"4,084","4,510","470,370",1,0,1,0
"1,389",49,4/10/17,44,"6,668","7,435","344,938",1,0,7,0
"1,389",50,5/10/17,49,"7,716","7,740","376,296",1,0,1,0
"1,389",51,9/10/17,42,"9,185","9,358","115,101",1,0,4,0
"1,389",52,10/10/17,28,"4,545","4,661","99,522",2,0,10,0
"1,389",53,11/10/17,46,"6,756","7,842","257,094",1,0,4,1
"1,389",54,12/10/17,20,"2,853","2,866","111,780",1,0,4,0
"1,389",55,17/10/17,31,"3,585","4,303","335,340",1,0,1,0
"1,389",56,18/10/17,38,"5,862","6,173","212,382",1,0,3,0
"1,389",57,19/10/17,22,"2,743","2,757","122,958",1,0,5,0
"1,389",58,27/11/17,25,"3,413","3,534","248,450",1,0,7,0
"1,389",59,28/11/17,41,"6,942","6,944","198,760",1,0,1,0
"1,389",60,29/11/17,26,"4,107","4,107","129,194",1,0,2,0
"1,389",61,30/11/17,35,"4,236","4,656","168,946",1,0,1,0
"1,389",62,4/12/17,42,"7,976","11,867","1,447,240",1,0,1,0
"1,389",63,5/12/17,18,"5,271","5,271","325,629",1,0,1,0
"1,389",64,6/12/17,16,"5,076","5,203","289,448",1,0,1,0
"1,389",65,11/12/17,26,"7,013","7,246","370,567",2,0,12,1
"1,389",66,14/12/17,22,"4,120","4,129","397,991",1,0,2,0
"1,389",67,20/12/17,39,"12,334","14,228","1,338,697",1,0,1,0
"1,389",68,21/12/17,47,"13,212","16,744","795,982",1,0,1,0
"1,389",69,22/12/17,47,"12,695","16,653","795,982",1,0,3,0
"1,389",70,26/12/17,60,"15,738","16,499","898,154",4,0,5,1
"1,389",71,27/12/17,38,"6,829","8,924","669,780",1,0,1,0
"1,389",72,28/12/17,44,"4,056","5,940","384,220",2,0,7,2
"1,389",73,1/1/18,31,"6,020","6,027","273,777",2,0,14,0
"1,389",74,2/1/18,36,"5,611","6,836","657,798",1,0,2,0
"1,389",75,3/1/18,44,"8,618","8,618","406,287",1,0,2,0
"1,389",76,4/1/18,26,"5,538","5,538","232,164",1,0,2,0
"1,389",77,8/1/18,39,"7,321","7,809","348,246",1,0,2,0
"1,389",78,9/1/18,29,"4,203","5,216","522,369",1,0,3,0
"1,389",79,11/1/18,49,"9,308","9,409","263,787",1,0,2,0
"1,389",80,15/1/18,35,"5,910","5,910","183,504",1,0,1,0
"1,389",81,16/1/18,41,"6,823","8,446","217,911",1,0,2,0
"1,389",82,17/1/18,22,"3,975","3,975","114,690",1,0,1,0
"1,389",83,18/1/18,19,"3,973","3,973","102,625",2,0,5,0
"1,389",84,19/1/18,14,"4,894","4,894","79,240",1,0,4,0
"1,389",85,20/1/18,22,"2,845","4,347","361,810",1,0,4,0
"1,389",86,22/1/18,26,"5,925","6,763","420,846",2,0,14,1
"1,389",87,23/1/18,26,"5,536","7,541","436,327",3,0,13,2
"1,389",88,24/1/18,46,"7,826","10,165","237,720",1,0,2,0
"1,389",89,25/1/18,32,"3,176","3,468","132,746",2,0,11,1
"1,389",90,26/1/18,33,"3,827","4,606","190,050",2,0,4,1
"1,389",91,27/1/18,27,"8,415","10,612","434,172",1,0,2,0
"1,389",92,29/1/18,36,"6,379","6,862","137,472",1,0,1,0
"1,389",93,30/1/18,49,"7,610","8,794","189,024",1,0,1,0
"1,389",94,31/1/18,40,"7,604","9,013","131,031",2,0,12,0
"1,389",95,1/2/18,9,"4,501","4,501","23,868",1,0,1,0
"1,389",96,2/2/18,31,"6,786","10,664","741,142",2,0,6,0
"1,389",97,3/2/18,28,"5,777","8,034","534,783",3,0,7,2
"1,389",98,5/2/18,48,"7,560","15,224","1,131,373",3,0,8,2
"1,389",99,6/2/18,41,"10,699","12,186","307,581",2,0,6,2
"1,389",100,7/2/18,32,"8,079","11,659","682,061",3,0,10,1
"1,389",101,8/2/18,135,"17,472","27,261","2,217,999",5,0,13,0
"1,389",102,9/2/18,39,"8,729","10,194","795,643",2,0,5,1
"1,389",103,10/2/18,15,"6,208","6,208","253,267",1,0,2,0
"1,389",104,12/2/18,41,"11,787","15,423","647,406",1,0,2,1
"1,389",105,13/2/18,117,"14,032","19,479","751,885",2,0,7,0
"1,389",106,14/2/18,66,"15,214","32,807","1,309,689",1,0,4,2
"1,389",107,15/2/18,23,"5,099","12,907","361,810",1,0,4,2
"1,389",108,19/2/18,26,"3,782","5,981","201,848",1,0,2,2
"1,389",109,20/2/18,32,"5,717","8,198","245,852",2,0,7,2
"1,389",110,22/2/18,29,"4,234","12,140","115,011",1,0,3,1
"1,389",111,26/2/18,82,"5,374","7,100","618,660",1,0,1,1
"1,389",112,27/2/18,44,"5,072","6,150","313,332",2,0,9,2
"1,389",113,28/2/18,35,"7,116","8,188","190,416",2,0,6,1
"1,389",114,1/3/18,26,"4,518","4,916","145,860",1,0,1,1
"1,389",115,2/3/18,38,"5,011","10,065","144,573",3,0,4,0
"1,389",116,3/3/18,38,"3,753","15,820","1,193,973",1,0,1,2
"1,389",117,5/3/18,25,"7,557","8,554","106,876",1,0,2,2
"1,389",118,6/3/18,38,"8,944","11,330","230,486",2,0,4,2
